TIME PEERS_CONNECTED PEERS_UNIQUE TORRENTS SEEDEERS_MAX SEEDERS_AVG SEEDERS_ZERO
0.00 0 0 0 0 0.00 0
5.00 0 0 0 0 0.00 0
10.00 6 0 0 0 0.00 0
15.00 10 6 0 0 0.00 0
20.00 10 10 0 0 0.00 0
25.00 10 10 0 0 0.00 0
30.00 10 10 0 0 0.00 0
35.00 10 10 10 57 9.00 4
40.00 10 10 10 57 9.00 4
45.00 10 10 10 57 9.00 4
50.00 10 10 10 57 9.00 4
55.00 10 10 10 57 9.00 4
60.00 11 10 10 57 9.00 4
65.00 11 11 14 57 6.43 8
70.00 11 11 14 57 6.43 8
75.00 12 11 14 57 6.43 8
80.00 12 12 14 57 6.43 8
85.00 12 12 14 57 6.43 8
90.00 12 12 14 57 6.43 8
95.00 12 12 14 57 6.43 8
100.00 13 12 14 57 6.43 8
105.00 13 13 14 57 6.43 8
110.00 13 13 24 57 5.83 12
115.00 13 13 24 57 5.83 12
120.00 13 13 24 57 5.83 12
125.00 13 13 24 57 5.83 12
130.00 14 13 24 57 5.83 12
135.00 14 14 24 57 5.83 12
140.00 14 14 24 57 5.83 12
145.00 14 14 24 57 5.83 12
150.00 14 14 32 57 4.38 20
155.00 14 14 32 57 4.38 20
160.00 14 14 32 57 4.38 20
165.00 14 14 32 57 4.38 20
170.00 14 14 32 57 4.38 20
175.00 14 14 32 57 4.38 20
180.00 14 14 32 57 4.38 20
185.00 14 14 32 57 4.38 20
190.00 14 14 36 57 3.89 24
195.00 14 14 36 57 3.89 24
200.00 14 14 36 57 3.89 24
205.00 14 14 36 57 3.89 24
210.00 14 14 36 57 3.89 24
215.00 14 14 36 57 3.89 24
220.00 14 14 36 57 3.89 24
225.00 14 14 36 57 3.89 24
230.00 14 14 36 57 3.89 24
235.00 14 14 36 57 3.89 24
240.00 14 14 36 57 3.89 24
245.00 14 14 36 57 3.89 24
250.00 14 14 36 57 3.89 24
255.00 14 14 36 57 3.89 24
260.00 14 14 36 57 3.89 24
265.00 14 14 36 57 3.89 24
270.00 14 14 36 57 3.89 24
275.00 14 14 36 57 3.89 24
280.00 14 14 36 57 3.89 24
285.00 14 14 36 57 3.89 24
290.00 15 14 36 57 3.89 24
295.00 15 15 36 57 3.89 24
300.00 16 15 36 57 3.89 24
